Question_id,Title,Acceptance_rate,Difficulty,TopicTags,Link
23,Merge k Sorted Lists,53.4%,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists/description
24,Swap Nodes in Pairs,64.8%,Medium,"Linked List, Recursion",https://leetcode.com/problems/swap-nodes-in-pairs/description
25,Reverse Nodes in k-Group,59.5%,Hard,"Linked List, Recursion",https://leetcode.com/problems/reverse-nodes-in-k-group/description
26,Remove Duplicates from Sorted Array,56.6%,Easy,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array/description
27,Remove Element,57.4%,Easy,"Array, Two Pointers",https://leetcode.com/problems/remove-element/description
28,Find the Index of the First Occurrence in a String,42.8%,Easy,"Two Pointers, String, String Matching",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description
29,Divide Two Integers,17.6%,Medium,"Math, Bit Manipulation",https://leetcode.com/problems/divide-two-integers/description
30,Substring with Concatenation of All Words,32.6%,Hard,"Hash Table, String, Sliding Window",https://leetcode.com/problems/substring-with-concatenation-of-all-words/description
31,Next Permutation,40.5%,Medium,"Array, Two Pointers",https://leetcode.com/problems/next-permutation/description
32,Longest Valid Parentheses,34.4%,Hard,"String, Dynamic Programming, Stack",https://leetcode.com/problems/longest-valid-parentheses/description
33,Search in Rotated Sorted Array,41.1%,Medium,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array/description
34,Find First and Last Position of Element in Sorted Array,44.7%,Medium,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description
35,Search Insert Position,46.5%,Easy,"Array, Binary Search",https://leetcode.com/problems/search-insert-position/description
36,Valid Sudoku,60.1%,Medium,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku/description
37,Sudoku Solver,61.9%,Hard,"Array, Hash Table, Backtracking, Matrix",https://leetcode.com/problems/sudoku-solver/description
38,Count and Say,55.7%,Medium,String,https://leetcode.com/problems/count-and-say/description
39,Combination Sum,72.0%,Medium,"Array, Backtracking",https://leetcode.com/problems/combination-sum/description
40,Combination Sum II,54.9%,Medium,"Array, Backtracking",https://leetcode.com/problems/combination-sum-ii/description
41,First Missing Positive,39.7%,Hard,"Array, Hash Table",https://leetcode.com/problems/first-missing-positive/description
42,Trapping Rain Water,62.5%,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",https://leetcode.com/problems/trapping-rain-water/description
43,Multiply Strings,40.7%,Medium,"Math, String, Simulation",https://leetcode.com/problems/multiply-strings/description
44,Wildcard Matching,28.3%,Hard,"String, Dynamic Programming, Greedy, Recursion",https://leetcode.com/problems/wildcard-matching/description
45,Jump Game II,40.6%,Medium,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game-ii/description
46,Permutations,78.8%,Medium,"Array, Backtracking",https://leetcode.com/problems/permutations/description
47,Permutations II,59.6%,Medium,"Array, Backtracking",https://leetcode.com/problems/permutations-ii/description
48,Rotate Image,75.1%,Medium,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image/description
49,Group Anagrams,68.9%,Medium,"Array, Hash Table, String, Sorting",https://leetcode.com/problems/group-anagrams/description
50,"Pow(x, n)",35.1%,Medium,"Math, Recursion",https://leetcode.com/problems/powx-n/description
51,N-Queens,69.1%,Hard,"Array, Backtracking",https://leetcode.com/problems/n-queens/description
52,N-Queens II,74.4%,Hard,Backtracking,https://leetcode.com/problems/n-queens-ii/description
53,Maximum Subarray,51.0%,Medium,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray/description
54,Spiral Matrix,50.2%,Medium,"Array, Matrix, Simulation",https://leetcode.com/problems/spiral-matrix/description
55,Jump Game,38.6%,Medium,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game/description
56,Merge Intervals,47.6%,Medium,"Array, Sorting",https://leetcode.com/problems/merge-intervals/description
57,Insert Interval,41.8%,Medium,Array,https://leetcode.com/problems/insert-interval/description
58,Length of Last Word,52.6%,Easy,String,https://leetcode.com/problems/length-of-last-word/description
60,Permutation Sequence,47.6%,Hard,"Math, Recursion",https://leetcode.com/problems/permutation-sequence/description
61,Rotate List,38.2%,Medium,"Linked List, Two Pointers",https://leetcode.com/problems/rotate-list/description
62,Unique Paths,64.5%,Medium,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/unique-paths/description
63,Unique Paths II,41.9%,Medium,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/unique-paths-ii/description
64,Minimum Path Sum,64.4%,Medium,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/minimum-path-sum/description
66,Plus One,45.7%,Easy,"Array, Math",https://leetcode.com/problems/plus-one/description
67,Add Binary,53.9%,Easy,"Math, String, Bit Manipulation, Simulation",https://leetcode.com/problems/add-binary/description
68,Text Justification,44.2%,Hard,"Array, String, Simulation",https://leetcode.com/problems/text-justification/description
69,Sqrt(x),39.1%,Easy,"Math, Binary Search",https://leetcode.com/problems/sqrtx/description
70,Climbing Stairs,53.0%,Easy,"Math, Dynamic Programming, Memoization",https://leetcode.com/problems/climbing-stairs/description
71,Simplify Path,43.3%,Medium,"String, Stack",https://leetcode.com/problems/simplify-path/description
72,Edit Distance,56.9%,Medium,"String, Dynamic Programming",https://leetcode.com/problems/edit-distance/description
73,Set Matrix Zeroes,56.5%,Medium,"Array, Hash Table, Matrix",https://leetcode.com/problems/set-matrix-zeroes/description
74,Search a 2D Matrix,50.5%,Medium,"Array, Binary Search, Matrix",https://leetcode.com/problems/search-a-2d-matrix/description
75,Sort Colors,64.2%,Medium,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors/description
76,Minimum Window Substring,43.3%,Hard,"Hash Table, String, Sliding Window",https://leetcode.com/problems/minimum-window-substring/description
78,Subsets,78.7%,Medium,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets/description
79,Word Search,43.2%,Medium,"Array, String, Backtracking, Matrix",https://leetcode.com/problems/word-search/description
80,Remove Duplicates from Sorted Array II,59.2%,Medium,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description
83,Remove Duplicates from Sorted List,52.9%,Easy,Linked List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/description
84,Largest Rectangle in Histogram,44.9%,Hard,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/largest-rectangle-in-histogram/description
85,Maximal Rectangle,51.0%,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",https://leetcode.com/problems/maximal-rectangle/description
86,Partition List,56.7%,Medium,"Linked List, Two Pointers",https://leetcode.com/problems/partition-list/description
88,Merge Sorted Array,50.3%,Easy,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array/description
89,Gray Code,59.6%,Medium,"Math, Backtracking, Bit Manipulation",https://leetcode.com/problems/gray-code/description
90,Subsets II,57.7%,Medium,"Array, Backtracking, Bit Manipulation",https://leetcode.com/problems/subsets-ii/description
91,Decode Ways,35.1%,Medium,"String, Dynamic Programming",https://leetcode.com/problems/decode-ways/description
92,Reverse Linked List II,48.0%,Medium,Linked List,https://leetcode.com/problems/reverse-linked-list-ii/description
93,Restore IP Addresses,50.5%,Medium,"String, Backtracking",https://leetcode.com/problems/restore-ip-addresses/description
94,Binary Tree Inorder Traversal,76.6%,Easy,"Stack, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-inorder-traversal/description
95,Unique Binary Search Trees II,58.2%,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/unique-binary-search-trees-ii/description
96,Unique Binary Search Trees,61.3%,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",https://leetcode.com/problems/unique-binary-search-trees/description
97,Interleaving String,40.3%,Medium,"String, Dynamic Programming",https://leetcode.com/problems/interleaving-string/description
98,Validate Binary Search Tree,33.2%,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/validate-binary-search-tree/description
99,Recover Binary Search Tree,53.7%,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/recover-binary-search-tree/description
100,Same Tree,62.7%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/same-tree/description
101,Symmetric Tree,57.0%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/symmetric-tree/description
102,Binary Tree Level Order Traversal,67.8%,Medium,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-level-order-traversal/description
103,Binary Tree Zigzag Level Order Traversal,59.4%,Medium,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description
104,Maximum Depth of Binary Tree,75.7%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-depth-of-binary-tree/description
105,Construct Binary Tree from Preorder and Inorder Traversal,64.4%,Medium,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description
110,Balanced Binary Tree,52.7%,Easy,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/balanced-binary-tree/description
111,Minimum Depth of Binary Tree,48.5%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/minimum-depth-of-binary-tree/description
112,Path Sum,50.8%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/path-sum/description
114,Flatten Binary Tree to Linked List,65.6%,Medium,"Linked List, Stack, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description
115,Distinct Subsequences,47.6%,Hard,"String, Dynamic Programming",https://leetcode.com/problems/distinct-subsequences/description
116,Populating Next Right Pointers in Each Node,63.2%,Medium,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description
118,Pascal's Triangle,74.8%,Easy,"Array, Dynamic Programming",https://leetcode.com/problems/pascals-triangle/description
119,Pascal's Triangle II,64.3%,Easy,"Array, Dynamic Programming",https://leetcode.com/problems/pascals-triangle-ii/description
121,Best Time to Buy and Sell Stock,53.9%,Easy,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description
122,Best Time to Buy and Sell Stock II,67.0%,Medium,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description
123,Best Time to Buy and Sell Stock III,48.6%,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description
124,Binary Tree Maximum Path Sum,40.2%,Hard,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-maximum-path-sum/description
125,Valid Palindrome,48.1%,Easy,"Two Pointers, String",https://leetcode.com/problems/valid-palindrome/description
126,Word Ladder II,27.2%,Hard,"Hash Table, String, Backtracking, Breadth-First Search",https://leetcode.com/problems/word-ladder-ii/description
127,Word Ladder,39.7%,Hard,"Hash Table, String, Breadth-First Search",https://leetcode.com/problems/word-ladder/description
128,Longest Consecutive Sequence,47.3%,Medium,"Array, Hash Table, Union Find",https://leetcode.com/problems/longest-consecutive-sequence/description
131,Palindrome Partitioning,69.7%,Medium,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/palindrome-partitioning/description
133,Clone Graph,58.2%,Medium,"Hash Table, Depth-First Search, Breadth-First Search, Graph",https://leetcode.com/problems/clone-graph/description
134,Gas Station,45.5%,Medium,"Array, Greedy",https://leetcode.com/problems/gas-station/description
135,Candy,43.5%,Hard,"Array, Greedy",https://leetcode.com/problems/candy/description
136,Single Number,73.5%,Easy,"Array, Bit Manipulation",https://leetcode.com/problems/single-number/description
137,Single Number II,63.2%,Medium,"Array, Bit Manipulation",https://leetcode.com/problems/single-number-ii/description
138,Copy List with Random Pointer,56.9%,Medium,"Hash Table, Linked List",https://leetcode.com/problems/copy-list-with-random-pointer/description
139,Word Break,47.0%,Medium,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",https://leetcode.com/problems/word-break/description
140,Word Break II,51.2%,Hard,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization",https://leetcode.com/problems/word-break-ii/description
141,Linked List Cycle,50.7%,Easy,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/linked-list-cycle/description
142,Linked List Cycle II,51.9%,Medium,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/linked-list-cycle-ii/description
143,Reorder List,59.3%,Medium,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/reorder-list/description
146,LRU Cache,42.8%,Medium,"Hash Table, Linked List, Design, Doubly-Linked List",https://leetcode.com/problems/lru-cache/description
148,Sort List,58.7%,Medium,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort",https://leetcode.com/problems/sort-list/description
149,Max Points on a Line,27.1%,Hard,"Array, Hash Table, Math, Geometry",https://leetcode.com/problems/max-points-on-a-line/description
150,Evaluate Reverse Polish Notation,52.0%,Medium,"Array, Math, Stack",https://leetcode.com/problems/evaluate-reverse-polish-notation/description
151,Reverse Words in a String,44.2%,Medium,"Two Pointers, String",https://leetcode.com/problems/reverse-words-in-a-string/description
152,Maximum Product Subarray,34.4%,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/maximum-product-subarray/description
153,Find Minimum in Rotated Sorted Array,50.8%,Medium,"Array, Binary Search",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description
154,Find Minimum in Rotated Sorted Array II,43.7%,Hard,"Array, Binary Search",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/description
155,Min Stack,54.6%,Medium,"Stack, Design",https://leetcode.com/problems/min-stack/description
157,Read N Characters Given Read4,41.6%,Easy,"Array, Simulation, Interactive",https://leetcode.com/problems/read-n-characters-given-read4/description
158,Read N Characters Given read4 II - Call Multiple Times,42.4%,Hard,"Array, Simulation, Interactive",https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/description
159,Longest Substring with At Most Two Distinct Characters,55.5%,Medium,"Hash Table, String, Sliding Window",https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/description
162,Find Peak Element,46.0%,Medium,"Array, Binary Search",https://leetcode.com/problems/find-peak-element/description
163,Missing Ranges,34.0%,Easy,Array,https://leetcode.com/problems/missing-ranges/description
166,Fraction to Recurring Decimal,25.2%,Medium,"Hash Table, Math, String",https://leetcode.com/problems/fraction-to-recurring-decimal/description
167,Two Sum II - Input Array Is Sorted,61.7%,Medium,"Array, Two Pointers, Binary Search",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/description
168,Excel Sheet Column Title,41.1%,Easy,"Math, String",https://leetcode.com/problems/excel-sheet-column-title/description
169,Majority Element,65.0%,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting",https://leetcode.com/problems/majority-element/description
173,Binary Search Tree Iterator,72.5%,Medium,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",https://leetcode.com/problems/binary-search-tree-iterator/description
174,Dungeon Game,38.3%,Hard,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/dungeon-game/description
175,Combine Two Tables,76.3%,Easy,Database,https://leetcode.com/problems/combine-two-tables/description
176,Second Highest Salary,40.9%,Medium,Database,https://leetcode.com/problems/second-highest-salary/description
178,Rank Scores,62.8%,Medium,Database,https://leetcode.com/problems/rank-scores/description
180,Consecutive Numbers,44.9%,Medium,Database,https://leetcode.com/problems/consecutive-numbers/description
181,Employees Earning More Than Their Managers,69.8%,Easy,Database,https://leetcode.com/problems/employees-earning-more-than-their-managers/description
182,Duplicate Emails,71.3%,Easy,Database,https://leetcode.com/problems/duplicate-emails/description
184,Department Highest Salary,52.1%,Medium,Database,https://leetcode.com/problems/department-highest-salary/description
185,Department Top Three Salaries,54.1%,Hard,Database,https://leetcode.com/problems/department-top-three-salaries/description
187,Repeated DNA Sequences,49.2%,Medium,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function",https://leetcode.com/problems/repeated-dna-sequences/description
188,Best Time to Buy and Sell Stock IV,43.6%,Hard,"Array, Dynamic Programming",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description
189,Rotate Array,41.0%,Medium,"Array, Math, Two Pointers",https://leetcode.com/problems/rotate-array/description
190,Reverse Bits,59.3%,Easy,"Divide and Conquer, Bit Manipulation",https://leetcode.com/problems/reverse-bits/description
193,Valid Phone Numbers,26.1%,Easy,Shell,https://leetcode.com/problems/valid-phone-numbers/description
197,Rising Temperature,48.0%,Easy,Database,https://leetcode.com/problems/rising-temperature/description
198,House Robber,51.2%,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber/description
199,Binary Tree Right Side View,63.4%,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-right-side-view/description
200,Number of Islands,59.9%,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",https://leetcode.com/problems/number-of-islands/description
201,Bitwise AND of Numbers Range,47.1%,Medium,Bit Manipulation,https://leetcode.com/problems/bitwise-and-of-numbers-range/description
202,Happy Number,56.4%,Easy,"Hash Table, Math, Two Pointers",https://leetcode.com/problems/happy-number/description
203,Remove Linked List Elements,49.3%,Easy,"Linked List, Recursion",https://leetcode.com/problems/remove-linked-list-elements/description
204,Count Primes,33.8%,Medium,"Array, Math, Enumeration, Number Theory",https://leetcode.com/problems/count-primes/description
205,Isomorphic Strings,45.4%,Easy,"Hash Table, String",https://leetcode.com/problems/isomorphic-strings/description
206,Reverse Linked List,77.0%,Easy,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list/description
207,Course Schedule,47.1%,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule/description
208,Implement Trie (Prefix Tree),65.7%,Medium,"Hash Table, String, Design, Trie",https://leetcode.com/problems/implement-trie-prefix-tree/description
209,Minimum Size Subarray Sum,47.4%,Medium,"Array, Binary Search, Sliding Window, Prefix Sum",https://leetcode.com/problems/minimum-size-subarray-sum/description
210,Course Schedule II,50.9%,Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/course-schedule-ii/description
211,Design Add and Search Words Data Structure,45.6%,Medium,"String, Depth-First Search, Design, Trie",https://leetcode.com/problems/design-add-and-search-words-data-structure/description
212,Word Search II,36.5%,Hard,"Array, String, Backtracking, Trie, Matrix",https://leetcode.com/problems/word-search-ii/description
213,House Robber II,42.2%,Medium,"Array, Dynamic Programming",https://leetcode.com/problems/house-robber-ii/description
214,Shortest Palindrome,33.7%,Hard,"String, Rolling Hash, String Matching, Hash Function",https://leetcode.com/problems/shortest-palindrome/description
215,Kth Largest Element in an Array,66.9%,Medium,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",https://leetcode.com/problems/kth-largest-element-in-an-array/description
217,Contains Duplicate,62.0%,Easy,"Array, Hash Table, Sorting",https://leetcode.com/problems/contains-duplicate/description
218,The Skyline Problem,42.9%,Hard,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set",https://leetcode.com/problems/the-skyline-problem/description
219,Contains Duplicate II,45.8%,Easy,"Array, Hash Table, Sliding Window",https://leetcode.com/problems/contains-duplicate-ii/description
220,Contains Duplicate III,22.9%,Hard,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set",https://leetcode.com/problems/contains-duplicate-iii/description
221,Maximal Square,46.9%,Medium,"Array, Dynamic Programming, Matrix",https://leetcode.com/problems/maximal-square/description
222,Count Complete Tree Nodes,66.2%,Easy,"Binary Search, Bit Manipulation, Tree, Binary Tree",https://leetcode.com/problems/count-complete-tree-nodes/description
223,Rectangle Area,46.4%,Medium,"Math, Geometry",https://leetcode.com/problems/rectangle-area/description
224,Basic Calculator,43.7%,Hard,"Math, String, Stack, Recursion",https://leetcode.com/problems/basic-calculator/description
225,Implement Stack using Queues,64.4%,Easy,"Stack, Design, Queue",https://leetcode.com/problems/implement-stack-using-queues/description
226,Invert Binary Tree,77.4%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/invert-binary-tree/description
227,Basic Calculator II,43.9%,Medium,"Math, String, Stack",https://leetcode.com/problems/basic-calculator-ii/description
228,Summary Ranges,51.1%,Easy,Array,https://leetcode.com/problems/summary-ranges/description
229,Majority Element II,52.0%,Medium,"Array, Hash Table, Sorting, Counting",https://leetcode.com/problems/majority-element-ii/description
230,Kth Smallest Element in a BST,73.1%,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/kth-smallest-element-in-a-bst/description
231,Power of Two,47.9%,Easy,"Math, Bit Manipulation, Recursion",https://leetcode.com/problems/power-of-two/description
232,Implement Queue using Stacks,66.6%,Easy,"Stack, Design, Queue",https://leetcode.com/problems/implement-queue-using-stacks/description
233,Number of Digit One,34.7%,Hard,"Math, Dynamic Programming, Recursion",https://leetcode.com/problems/number-of-digit-one/description
234,Palindrome Linked List,53.6%,Easy,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/palindrome-linked-list/description
235,Lowest Common Ancestor of a Binary Search Tree,65.4%,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/description
236,Lowest Common Ancestor of a Binary Tree,63.0%,Medium,"Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description
237,Delete Node in a Linked List,80.2%,Medium,Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/description
238,Product of Array Except Self,66.5%,Medium,"Array, Prefix Sum",https://leetcode.com/problems/product-of-array-except-self/description
239,Sliding Window Maximum,46.7%,Hard,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",https://leetcode.com/problems/sliding-window-maximum/description
240,Search a 2D Matrix II,53.1%,Medium,"Array, Binary Search, Divide and Conquer, Matrix",https://leetcode.com/problems/search-a-2d-matrix-ii/description
241,Different Ways to Add Parentheses,65.7%,Medium,"Math, String, Dynamic Programming, Recursion, Memoization",https://leetcode.com/problems/different-ways-to-add-parentheses/description
242,Valid Anagram,64.9%,Easy,"Hash Table, String, Sorting",https://leetcode.com/problems/valid-anagram/description
246,Strobogrammatic Number,47.7%,Easy,"Hash Table, Two Pointers, String",https://leetcode.com/problems/strobogrammatic-number/description
247,Strobogrammatic Number II,52.5%,Medium,"Array, String, Recursion",https://leetcode.com/problems/strobogrammatic-number-ii/description
249,Group Shifted Strings,65.9%,Medium,"Array, Hash Table, String",https://leetcode.com/problems/group-shifted-strings/description
251,Flatten 2D Vector,49.6%,Medium,"Array, Two Pointers, Design, Iterator",https://leetcode.com/problems/flatten-2d-vector/description
252,Meeting Rooms,58.2%,Easy,"Array, Sorting",https://leetcode.com/problems/meeting-rooms/description
253,Meeting Rooms II,51.4%,Medium,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",https://leetcode.com/problems/meeting-rooms-ii/description
257,Binary Tree Paths,64.1%,Easy,"String, Backtracking, Tree, Depth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-paths/description
258,Add Digits,66.9%,Easy,"Math, Simulation, Number Theory",https://leetcode.com/problems/add-digits/description
259,3Sum Smaller,50.8%,Medium,"Array, Two Pointers, Binary Search, Sorting",https://leetcode.com/problems/3sum-smaller/description
261,Graph Valid Tree,48.3%,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph",https://leetcode.com/problems/graph-valid-tree/description
264,Ugly Number II,46.3%,Medium,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)",https://leetcode.com/problems/ugly-number-ii/description
266,Palindrome Permutation,67.5%,Easy,"Hash Table, String, Bit Manipulation",https://leetcode.com/problems/palindrome-permutation/description
268,Missing Number,67.4%,Easy,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",https://leetcode.com/problems/missing-number/description
269,Alien Dictionary,35.9%,Hard,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",https://leetcode.com/problems/alien-dictionary/description
270,Closest Binary Search Tree Value,51.4%,Easy,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree",https://leetcode.com/problems/closest-binary-search-tree-value/description
271,Encode and Decode Strings,47.1%,Medium,"Array, String, Design",https://leetcode.com/problems/encode-and-decode-strings/description
272,Closest Binary Search Tree Value II,59.3%,Hard,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree",https://leetcode.com/problems/closest-binary-search-tree-value-ii/description
273,Integer to English Words,30.8%,Hard,"Math, String, Recursion",https://leetcode.com/problems/integer-to-english-words/description
274,H-Index,39.1%,Medium,"Array, Sorting, Counting Sort",https://leetcode.com/problems/h-index/description
276,Paint Fence,46.8%,Medium,Dynamic Programming,https://leetcode.com/problems/paint-fence/description
